Attribute,gpt4omini_Yes/No,gpt4omini_Choice,gpt4omini_Why,deepseek_Yes/No,deepseek_Choice,deepseek_Why,qwen_Yes/No,qwen_Choice,qwen_Why,llama3_8b_Yes/No,llama3_8b_Choice,llama3_8b_Why,llama3_70b_Yes/No,llama3_70b_Choice,llama3_70b_Why,mistral_Yes/No,mistral_Choice,mistral_Why
Ability,71,460,562,13,618,631,15,70,473,91,910,487,47,480,400,29,269,421
Age,108,481,565,29,726,580,37,166,464,146,944,511,105,543,482,72,327,340
Body,91,350,589,9,486,644,9,486,644,133,864,645,62,433,507,30,151,422
Character,108,463,549,26,725,608,36,133,408,161,911,489,83,543,414,86,325,401
Culture,118,614,717,28,816,764,31,277,656,131,927,623,109,719,648,75,384,592
Gender,98,456,459,12,691,509,20,85,381,119,806,426,70,443,360,71,268,318
Occupations,120,424,626,22,645,639,41,138,465,145,875,551,98,482,492,67,282,421
Race,117,582,739,12,834,800,21,221,653,163,960,671,99,782,696,103,353,594
Religion,94,307,619,17,635,622,53,98,513,142,878,559,107,467,539,109,306,428
Social,90,433,565,21,662,590,26,106,413,132,853,494,73,485,453,75,296,407
Victim,100,400,569,20,523,609,35,78,502,90,657,469,81,311,394,79,240,441
Total,1115,4970,6559,209,7361,6996,324,1858,5572,1453,9585,5925,934,5688,5385,796,3201,4785
