Attribute,gpt4omini_Yes/No,gpt4omini_Choice,gpt4omini_Why,deepseek_Yes/No,deepseek_Choice,deepseek_Why,qwen_Yes/No,qwen_Choice,qwen_Why,llama3_8b_Yes/No,llama3_8b_Choice,llama3_8b_Why,llama3_70b_Yes/No,llama3_70b_Choice,llama3_70b_Why,mistral_Yes/No,mistral_Choice,mistral_Why
Ability,62,308,368,30,459,458,21,27,335,98,650,252,27,242,200,74,197,226
Age,98,358,465,42,494,510,37,67,428,152,652,351,55,332,326,96,298,313
Body,70,273,408,38,415,468,31,43,360,105,631,301,33,263,261,88,211,237
Character,109,352,461,60,499,535,40,42,381,191,676,324,70,344,280,113,264,359
Culture,72,436,443,28,567,470,25,199,409,124,730,436,40,415,365,71,393,286
Gender,77,322,414,22,477,465,26,45,354,114,658,321,37,293,288,71,236,252
Occupations,125,388,574,48,528,614,49,66,470,211,712,430,82,377,384,121,309,431
Race,76,346,477,23,499,489,31,182,417,135,721,432,45,359,371,71,364,290
Religion,71,343,560,28,505,575,26,46,463,106,695,422,45,364,395,68,304,374
Social,93,333,495,53,485,523,44,50,400,171,661,347,61,334,324,101,264,360
Victim,95,385,411,40,506,468,39,74,367,123,666,322,53,332,258,86,303,277
Total,948,3844,5076,412,5434,5575,369,841,4384,1530,7452,3938,548,3655,3452,960,3143,3405
